,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97272255658457, 8.416754, -0.58624154, 5.4460645, 0.4960761, -5.893707E-4, 10.029903
97272265297103, 8.254042, 0.15314065, 5.5740805, -0.26562423, -0.06457615, 9.957325
97272274935644, 8.52443, -0.08733802, 5.7463636, -0.039654672, -0.09785557, 10.280228
97272284574290, 8.1738825, -0.35174492, 5.4699926, 0.23486519, -0.11098051, 9.838161
97272294212936, 8.586644, 0.3361916, 5.828916, -0.4574617, -0.044605255, 10.373451
97272303851582, 8.226524, -0.7573284, 5.386244, 0.6493301, -0.08746719, 9.840305
97272313490228, 8.539984, 0.5694918, 5.8672013, -0.69430983, -0.036177635, 10.353566
97272323128873, 8.276773, -0.84347, 5.3790655, 0.7366026, -0.075900555, 9.879395
97272332767519, 8.40479, 0.52163535, 5.6889358, -0.6423074, 0.024855137, 10.14216
97272342406061, 8.386844, -0.5910272, 5.4185467, 0.50192416, -0.012269497, 9.989845
97272352044707, 8.228917, 0.20458634, 5.485546, -0.30460095, 0.02482605, 9.887099
97272361683353, 8.5112705, -0.111266255, 5.5453663, 0.015165687, 0.056714535, 10.158826
97272371321998, 8.170293, -0.26679972, 5.265406, 0.18696475, 0.06019497, 9.721667
97272380960644, 8.549556, 0.33738798, 5.623133, -0.43222553, 0.10951567, 10.228859
97272390599290, 8.163115, -0.6879365, 5.237889, 0.60503286, -0.0055685043, 9.704592
97272400237936, 8.535198, 0.5766702, 5.782256, -0.68931746, 0.024997711, 10.302468
97272409876478, 8.269595, -0.83988076, 5.316852, 0.74027014, -0.05550766, 9.83918
97272419515123, 8.397611, 0.5407779, 5.651847, -0.642562, 0.04345703, 10.116369
97272429153769, 8.385647, -0.62093747, 5.3850474, 0.52847785, 0.008095741, 9.97116
97272438792415, 8.268398, 0.25842485, 5.5310097, -0.3666016, 0.012393951, 9.944381
97272448431061, 8.480164, -0.16031912, 5.629115, 0.048205733, -0.040775776, 10.1794815
97272458069707, 8.165507, -0.20817557, 5.4257255, 0.10334635, -0.05260992, 9.805299
97272467708353, 8.592627, 0.28953153, 5.7427745, -0.39688933, 0.03947401, 10.331382
97272477346998, 8.1942215, -0.72023964, 5.3359947, 0.62378263, -0.09341955, 9.784632
97272486985540, 8.529217, 0.5347959, 5.8767724, -0.67475307, -0.053138733, 10.349489
97272496624186, 8.26481, -0.8602197, 5.413761, 0.7433363, -0.13665819, 9.888613
97272506262832, 8.452646, 0.5312066, 5.7631135, -0.64738697, 0.0071582794, 10.223684
97272515901478, 8.400003, -0.6939186, 5.4233327, 0.60110664, -0.032753468, 10.004584
97272525540123, 8.29472, 0.29312077, 5.54417, -0.4066683, 0.036690235, 9.972933
97272535178769, 8.514859, -0.20219351, 5.578866, 0.09425342, 0.010797024, 10.18128
97272544817311, 8.161918, -0.17467605, 5.3443694, 0.07724726, 0.01565218, 9.757229
97272554455957, 8.5112705, 0.23449662, 5.599205, -0.3337894, 0.07934618, 10.184796
97272564094603, 8.147561, -0.61734825, 5.180461, 0.5343456, 0.047792435, 9.659878
97272573733248, 8.538788, 0.58265233, 5.7152567, -0.68856275, 0.06591368, 10.268208
97272583371894, 8.202596, -0.82911307, 5.2845488, 0.7360141, -0.06477356, 9.76476
97272593010540, 8.427522, 0.6041877, 5.686543, -0.713631, 0.024560928, 10.159482
97272602649186, 8.365308, -0.6771688, 5.369494, 0.5787565, 0.0013360977, 9.946528
97272612287728, 8.309076, 0.32422748, 5.569295, -0.42949802, 0.01239872, 9.998915
97272621926373, 8.474181, -0.31106696, 5.619544, 0.19336325, -0.06467962, 10.170852
97272631565019, 8.19781, -0.17347965, 5.4891353, 0.060472846, -0.079324245, 9.866856
97272641203665, 8.575876, 0.13160525, 5.749953, -0.24631798, -0.021113873, 10.322975
97272650842311, 8.185846, -0.67836523, 5.328816, 0.5826433, -0.060719013, 9.773504
97272660480957, 8.585447, 0.45702913, 5.861219, -0.57920706, -0.047576427, 10.3891735
97272670119603, 8.258827, -0.8578269, 5.4125648, 0.7487706, -0.13231039, 9.882398
97272679758248, 8.471788, 0.567099, 5.831309, -0.69541293, -0.050428867, 10.276712
97272689396790, 8.364112, -0.7178468, 5.447261, 0.61850035, -0.065889835, 9.987964
97272699035436, 8.300702, 0.3900301, 5.6243296, -0.51189554, -0.009721756, 10.0212145
97272708674082, 8.438289, -0.2727818, 5.564509, 0.17107105, -0.03189373, 10.110025
97272718312728, 8.155936, -0.051445685, 5.40419, -0.047402978, -0.006416321, 9.783912
97272727951373, 8.56152, 0.1794617, 5.593223, -0.26436245, 0.10462284, 10.224242
97272737590019, 8.191829, -0.56111693, 5.1816573, 0.49557012, 0.08402252, 9.69628
97272747228665, 8.56152, 0.50368917, 5.672186, -0.5996188, 0.09781885, 10.2644005
97272756867207, 8.206185, -0.8255238, 5.239085, 0.7409908, -0.008618832, 9.7427845
97272766505853, 8.455039, 0.61016977, 5.686543, -0.70743203, 0.052223682, 10.183004
