-0.23330021, 3.5521452, 9.314062, 0.070417166, 0.027342156, 9.970867
774743541359294, -0.10289137, 4.398008, 9.47797, -0.65008163, 0.10802597, 10.428362
774743550999815, -0.36011982, 2.8725836, 9.176475, 0.68670344, -0.04744661, 9.5976715
774743560640335, -0.18185452, 4.3262234, 9.35474, -0.61375284, 0.03135377, 10.289934
774743570280856, -0.276371, 3.0245278, 9.05803, 0.48683333, 0.015849948, 9.541216
774743579921377, -0.32542387, 3.9720855, 9.260223, -0.30946493, -0.091367185, 10.076259
774743589561898, -0.19860429, 3.463611, 9.102298, 0.096895695, 0.069536984, 9.740311
774743599202419, -0.45104706, 3.5162528, 9.255438, 0.13253522, -0.17533273, 9.908697
774743608842940, -0.14955142, 4.0211387, 9.304491, -0.35776877, 0.078742445, 10.130709
774743618483460, -0.42711884, 3.1118658, 9.262616, 0.50172067, -0.10762876, 9.767236
774743628123981, -0.076570325, 4.3812585, 9.454042, -0.64118004, 0.11953509, 10.399752
774743637764502, -0.37806597, 2.955136, 9.21476, 0.63059497, -0.055538893, 9.663686
774743647405023, -0.13758731, 4.4207397, 9.450453, -0.66786265, 0.06478447, 10.412621
774743657045544, -0.23090738, 3.0556345, 9.195618, 0.50348544, 0.08984017, 9.679259
774743666686065, -0.27038896, 4.080959, 9.4432745, -0.33722067, -0.047388196, 10.285271
774743676326585, -0.16749759, 3.4229329, 9.23151, 0.17536473, 0.10932392, 9.844928
774743685967106, -0.36610186, 3.5306098, 9.269794, 0.124464035, -0.09805703, 9.924878
774743695607627, -0.0634098, 3.8727834, 9.165708, -0.27477288, 0.14553368, 9.945653
774743705248148, -0.4426722, 3.0652058, 9.0747795, 0.4967394, -0.12300247, 9.575031
774743714888669, -0.16031912, 4.2723846, 9.273384, -0.59002614, 0.003569007, 10.194434
774743724529190, -0.41156548, 2.8642087, 9.081959, 0.6783476, -0.048011243, 9.507502
774743734169710, -0.16510476, 4.4111686, 9.312865, -0.69312763, -0.021648109, 10.282715
774743743810231, -0.28594232, 3.042474, 9.050852, 0.47877288, 0.045847178, 9.540703
774743753450752, -0.2536392, 4.194618, 9.316455, -0.48826623, -0.06751394, 10.208453
774743763091273, -0.14356937, 3.438486, 9.142975, 0.12743783, 0.13477254, 9.767466
774743772731794, -0.34337005, 3.6789649, 9.2590275, -0.014396191, -0.0854938, 9.96869
774743782372315, -0.0849452, 3.9254255, 9.255438, -0.28369856, 0.1370846, 10.048883
774743792012835, -0.38285163, 3.1836505, 9.284152, 0.45150137, -0.064826906, 9.811709
774743801653356, -0.09332009, 4.274778, 9.456435, -0.5294235, 0.11002362, 10.364083
774743811293877, -0.4127619, 2.894119, 9.286545, 0.7241328, -0.069520414, 9.708606
774743820934398, -0.19980069, 4.3788652, 9.495916, -0.61277175, 0.003526628, 10.440847
774743830574919, -0.39481574, 2.9084759, 9.215957, 0.6806116, -0.061607003, 9.647899
774743840215440, -0.3481557, 4.0941195, 9.46481, -0.34395838, -0.11675066, 10.311826
774743849855960, -0.27996024, 3.2853456, 9.243474, 0.3245244, 0.013936281, 9.808577
774743859496481, -0.40438703, 3.6933217, 9.32124, -0.011631489, -0.14234579, 10.033408
774743869137106, -0.1160519, 3.8237305, 9.192028, -0.21506238, 0.123986125, 9.953198
774743878777627, -0.39481574, 3.199204, 9.157332, 0.3873937, -0.0917272, 9.699951
774743888418148, -0.049052864, 4.2628136, 9.312865, -0.5791261, 0.16392112, 10.224539
774743898058669, -0.3589234, 2.961118, 9.162118, 0.60675025, -0.03695041, 9.616233
774743907699190, -0.11964113, 4.4602213, 9.342776, -0.7430608, 0.06715715, 10.326602
774743917339710, -0.30388847, 2.9431717, 9.080762, 0.58972144, 0.019350827, 9.532402
774743926980231, -0.24526432, 4.219743, 9.367901, -0.49452806, -0.032053947, 10.265395
774743936620752, -0.2105684, 3.2841492, 9.165708, 0.28433013, 0.08209485, 9.734095
774743946261273, -0.35533416, 3.7304106, 9.317652, -0.055167437, -0.094771445, 10.042352
774743955901794, -0.13040884, 3.7411783, 9.224331, -0.121228695, 0.124008596, 9.953474
774743965542315, -0.4103691, 3.2482567, 9.266206, 0.37947774, -0.11396599, 9.819632
774743975182835, -0.086141616, 4.191029, 9.404989, -0.47591782, 0.14099613, 10.28492
774743984823356, -0.45822555, 2.969493, 9.315259, 0.6622703, -0.12889183, 9.7645645
774743994463877, -0.14237295, 4.401597, 9.457631, -0.6588459, 0.06181872, 10.411687
774744004104398, -0.33738798, 2.952743, 9.19801, 0.6120112, -0.0065129995, 9.64683
774744013744919, -0.28953153, 4.278367, 9.397811, -0.5466144, -0.080212, 10.315129
774744023385440, -0.30388847, 3.205186, 9.127422, 0.3606162, 5.1254034E-4, 9.6718855
774744033025960, -0.34456646, 3.7794633, 9.373882, -0.08247304, -0.08488321, 10.112307
774744042666481, -0.14117654, 3.674179, 9.3104725, -0.03151679, 0.12352413, 10.009404
774744052307002, -0.40797627, 3.3020952, 9.37149, 0.36981297, -0.09440231, 9.937274
774744061947523, -0.09810573, 4.1635113, 9.450453, -0.4446361, 0.11532408, 10.317196
774744071588148, -0.43788654, 2.9706893, 9.288938, 0.6439228, -0.10414773, 9.740412
774744081228669, -0.16271193, 4.406383, 9.446864, -0.6503184, 0.031645834, 10.404902
774744090869190, -0.3397808, 2.9383862, 9.144172, 0.6234143, -0.017654836, 9.590439
774744100509710, -0.23449662, 4.302295, 9.352347, -0.57516694, -0.03763801, 10.280997
774744110150231, -0.25722843, 3.2099717, 9.15494, 0.36733842, 0.041602075, 9.697749
774744119790752, -0.35653058, 3.8967116, 9.340384, -0.19526482, -0.1114316, 10.124412
774744129431273, -0.11964113, 3.615555, 9.156136, -0.027612686, 0.13815856, 9.843859
774744139071794, -0.41156548, 3.3846476, 9.079565, 0.1906898, -0.14026356, 9.695756
774744148712315, -0.13040884, 4.1288157, 9.131011, -0.50375056, 0.09917134, 10.008791
774744158352835, -0.4103691, 2.9383862, 9.056833, 0.60483265, -0.1016621, 9.510656
774744167993356, -0.06580263, 4.347759, 9.312865, -0.65196395, 0.15474623, 10.256111
774744177633877, -0.33140594, 2.8689942, 9.105886, 0.66820145, -0.016515672, 9.5295
774744187274398, -0.17108682, 4.316652, 9.401401, -0.5878804, 0.0573574, 10.329579
